iter	Passed	Remaining
0	5	515
1	13	645
2	18	591
3	35	847
4	42	811
5	50	794
6	55	738
7	61	702
8	66	669
9	71	641
10	77	626
11	82	605
12	87	584
13	92	567
14	97	550
15	101	532
16	106	518
17	111	507
18	117	498
19	121	487
20	127	480
21	134	475
22	139	466
23	146	464
24	151	455
25	156	445
26	161	437
27	166	428
28	171	419
29	176	412
30	181	403
31	185	393
32	190	386
33	195	380
34	200	372
35	205	364
36	210	359
37	216	352
38	221	346
39	227	340
40	231	333
41	236	327
42	242	321
43	247	314
44	252	308
45	258	303
46	262	296
47	267	289
48	273	284
49	278	278
50	283	272
51	289	267
52	294	261
53	299	254
54	305	249
55	310	243
56	314	237
57	320	231
58	324	225
59	328	219
60	332	212
61	338	207
62	342	201
63	347	195
64	352	190
65	357	184
66	361	178
67	366	172
68	370	166
69	375	160
70	379	155
71	384	149
72	389	144
73	394	138
74	401	133
75	406	128
76	410	122
77	414	116
78	420	111
79	425	106
80	431	101
81	437	96
82	443	90
83	449	85
84	455	80
85	459	74
86	467	69
87	474	64
88	482	59
89	487	54
90	493	48
91	499	43
92	504	37
93	509	32
94	515	27
95	520	21
96	524	16
97	530	10
98	535	5
99	539	0
